horizon,side,bucket,n,avg_side_aligned_skew_bps,avg_mid_move_bps,median_mid_move_bps,avg_fill_edge_bps
1s,all,<-0.05bps,1,-0.07129792053199356442535486451,-0.7866951450309167858543145929,-0.7866951450309167858543145929,0.1713395358245301813258973308
1s,all,"[-0.05,-0.01)bps",3,-0.03125491281372363884628850032,-0.6623407878676950429846616197,-0.4160448541330577504693681705,0.07245306864689731850844532457
1s,all,"[-0.01,0.0)bps",857,-0.0005806301497928901422855375912,-1.191424475082897157537749799,-1.000321752284799916541520292,0.2226881082804435023264610884
1s,all,"[0.0,0.01)bps",66,0.0002860629948378529320455839906,-1.429641034732490608132820726,-1.030813191601150864042041410,0.3404848400384607822215111680
1s,all,"[0.01,0.05)bps",0,,,,
1s,all,>=0.05bps,0,,,,
1s,buy,<-0.05bps,1,-0.07129792053199356442535486451,-0.7866951450309167858543145929,-0.7866951450309167858543145929,0.1713395358245301813258973308
1s,buy,"[-0.05,-0.01)bps",0,,,,
1s,buy,"[-0.01,0.0)bps",416,-0.0005868331241204659986968277579,-1.252699708567830029009198934,-1.003756934597046146053486933,0.2225610289751889673408085450
1s,buy,"[0.0,0.01)bps",25,0.0003111709283393719713290981565,-0.9208944267192067510495989848,-0.6947967560617309971498505022,0.3240316385506651546985597252
1s,buy,"[0.01,0.05)bps",0,,,,
1s,buy,>=0.05bps,0,,,,
1s,sell,<-0.05bps,0,,,,
1s,sell,"[-0.05,-0.01)bps",3,-0.03125491281372363884628850032,-0.6623407878676950429846616197,-0.4160448541330577504693681705,0.07245306864689731850844532457
1s,sell,"[-0.01,0.0)bps",441,-0.0005747788180008911484825972066,-1.133622894289853904630441775,-1.000270275731935946746691893,0.2228079835434500478004553259
1s,sell,"[0.0,0.01)bps",41,0.0002707532792881462007751485246,-1.73985238108205393562259008,-1.140698049972024946014834266,0.3505172799700434819306279017
1s,sell,"[0.01,0.05)bps",0,,,,
1s,sell,>=0.05bps,0,,,,
5s,all,<-0.05bps,1,-0.07129792053199356442535486451,-1.984071823400007080256305278,-1.984071823400007080256305278,0.1713395358245301813258973308
5s,all,"[-0.05,-0.01)bps",3,-0.03125491281372363884628850032,-1.135848830183844973736227172,0.1680230527628390615192404398,0.07245306864689731850844532457
