start,hours,source,utc_bucket,vol_tercile,mid_drift_bps,abs_mid_drift_bps,realized_vol_1s_bps,realized_vol_10s_bps,realized_vol_1m_bps,jump_count
2026-04-12T09:00:00,5,balanced_fill,07-12,mid,-103.2791024275642874997705196,103.2791024275642874997705196,0.49158198370131667,1.7261793535861907,4.223973368483674,91
2026-04-12T15:00:00,5,balanced_fill,13-16,low,47.47108182828613563838640160,47.47108182828613563838640160,0.3297669651935572,1.1844377859814081,3.180483022818411,46
2026-04-13T02:00:00,5,balanced_fill,00-06,low,-25.27892955994956854957331097,25.27892955994956854957331097,0.3579676442505977,1.3298840217589365,3.4917833190741163,44
2026-04-13T07:00:00,5,balanced_fill,07-12,mid,-16.44977950722304652534475814,16.44977950722304652534475814,0.3660157312083457,1.3429937400051817,3.441004679276095,52
2026-04-13T12:00:00,5,anchor,07-12,high,179.4298366656832982810086187,179.4298366656832982810086187,0.8911383160205484,3.1557293293838358,8.193661634115578,427
2026-04-14T02:00:00,5,balanced_fill,00-06,low,18.37710779679381980687904751,18.37710779679381980687904751,0.3647311453419629,1.2705461067879038,3.1288133831442675,46
2026-04-14T12:00:00,5,anchor,07-12,high,37.09504270265956935465449006,37.09504270265956935465449006,0.9267382802683916,3.2564689201106476,8.463630167357472,488
2026-04-15T00:00:00,5,balanced_fill,00-06,mid,25.17821529282844435523365930,25.17821529282844435523365930,0.49815456918122486,1.73934635757141,4.425251112707938,104
2026-04-15T05:00:00,5,balanced_fill,00-06,mid,-42.71002408139847681572594226,42.71002408139847681572594226,0.462913006538126,1.6189855376677604,4.282465357158365,74
2026-04-15T12:00:00,5,anchor,07-12,high,-35.13123506816380066379813690,35.13123506816380066379813690,0.7027966525322217,2.6049376259458428,6.906288663990072,230
2026-04-16T12:00:00,5,anchor,07-12,high,-53.53283237318989613045533682,53.53283237318989613045533682,0.8911718559001336,3.282568024437683,9.24059950295771,417
2026-04-16T17:00:00,5,anchor,17-23,high,103.8018310538365478475217117,103.8018310538365478475217117,0.6453863873238718,2.536016815067824,6.368678261518704,175
2026-04-17T05:00:00,5,balanced_fill,00-06,high,132.1823362409988797506557741,132.1823362409988797506557741,0.5995361686615027,2.240753246602373,6.547576997663184,176
2026-04-17T12:00:00,5,anchor,07-12,high,299.9681371911872378900324972,299.9681371911872378900324972,1.2408296795085412,4.2204601535286255,10.238388809542172,840
2026-04-18T13:00:00,5,balanced_fill,13-16,mid,-49.39314601861914269166794447,49.39314601861914269166794447,0.4912872304034464,1.682344978611673,4.458602034874183,70
2026-04-18T19:00:00,5,balanced_fill,17-23,low,6.829854714870422148084497439,6.829854714870422148084497439,0.30745900923787023,1.1026798174332213,2.696755678215445,42
2026-04-19T13:00:00,5,balanced_fill,13-16,high,-102.2682149956371446234780047,102.2682149956371446234780047,0.6812759539352976,2.4855952314166982,6.895339571055852,221
2026-04-20T03:00:00,5,balanced_fill,00-06,high,57.40760264698275453683950162,57.40760264698275453683950162,0.5688378468656713,2.090237926318515,5.8556259570370335,160
2026-04-20T13:00:00,5,balanced_fill,13-16,high,80.78506673637056654540871050,80.78506673637056654540871050,0.8948836779219674,3.3442958131951714,8.323776049783854,403
2026-05-06T18:00:00,5,balanced_fill,17-23,low,-20.56189803003889646158074989,20.56189803003889646158074989,0.3237725105290322,1.2476837636344893,3.394205843106543,20
2026-05-07T16:00:00,5,balanced_fill,13-16,mid,-0.1639933148312987625828095823,0.1639933148312987625828095823,0.49390188540303986,1.942114682949839,4.799177305011887,86
2026-05-08T07:00:00,5,balanced_fill,07-12,low,88.70835759957794810273123434,88.70835759957794810273123434,0.3412247975792777,1.2428532714023746,3.185267299253505,54
2026-05-09T07:00:00,5,balanced_fill,07-12,low,10.15898487396423735819049467,10.15898487396423735819049467,0.17289011674819854,0.6309566076957646,1.715014888405058,10
2026-05-09T13:00:00,5,balanced_fill,13-16,low,51.89807330346317802158574268,51.89807330346317802158574268,0.280891396058244,1.016392505631226,2.511774394004576,27
