horizon,side,bucket,n,avg_side_aligned_skew_bps,avg_mid_move_bps,median_mid_move_bps,avg_fill_edge_bps
1s,all,<-0.05bps,3,-0.06651419728728264827202838073,-2.019830624178735822381971980,-1.405856208466523808011418728,0.1941399839270074939483916976
1s,all,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-1.233353336579144795328273456,-0.515991404632604542618955839,0.1174008574898577888441777655
1s,all,"[-0.01,0.0)bps",1904,-0.0005785010448018177522556843419,-1.109637301211996500729157816,-0.9252562166271715319241100885,0.2211157118245741301552076093
1s,all,"[0.0,0.01)bps",118,0.0002969088709639384460479965793,-1.126702139530950640196092301,-0.941625795203732299785009684,0.2938108172519516899090524439
1s,all,"[0.01,0.05)bps",0,,,,
1s,all,>=0.05bps,0,,,,
1s,buy,<-0.05bps,3,-0.06651419728728264827202838073,-2.019830624178735822381971980,-1.405856208466523808011418728,0.1941399839270074939483916976
1s,buy,"[-0.05,-0.01)bps",0,,,,
1s,buy,"[-0.01,0.0)bps",959,-0.0005739789116984347031853255780,-1.088573785496412157537112976,-0.8833637437426956947111542700,0.2235842931903519858593211962
1s,buy,"[0.0,0.01)bps",48,0.0003143111699815052361603375671,-0.8594803589059915206610875535,-0.804910796786639489149858108,0.3153232360715124036975661615
1s,buy,"[0.01,0.05)bps",0,,,,
1s,buy,>=0.05bps,0,,,,
1s,sell,<-0.05bps,0,,,,
1s,sell,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-1.233353336579144795328273456,-0.515991404632604542618955839,0.1174008574898577888441777655
1s,sell,"[-0.01,0.0)bps",945,-0.0005830901724696953650159743404,-1.131012869012256167524047764,-0.9594636867719691977477135833,0.2186105588830069728851071547
1s,sell,"[0.0,0.01)bps",70,0.0002849758659233212185423913309,-1.309939931959494036448666985,-1.134865191956184984443741826,0.2790594443471100575969287516
1s,sell,"[0.01,0.05)bps",0,,,,
1s,sell,>=0.05bps,0,,,,
