horizon,side,bucket,n,avg_side_aligned_skew_bps,avg_mid_move_bps,median_mid_move_bps,avg_fill_edge_bps
1s,all,<-0.05bps,3,-0.06651419728728264827202838073,-2.019830624178735822381971980,-1.405856208466523808011418728,0.1941399839270074939483916976
1s,all,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-1.233353336579144795328273456,-0.515991404632604542618955839,0.1174008574898577888441777655
1s,all,"[-0.01,0.0)bps",1503,-0.0005868343769442909048998799749,-1.111889325306101201622173422,-0.9197860347736607771617127566,0.2122693848291984746514856629
1s,all,"[0.0,0.01)bps",98,0.0002983321360036654565930731368,-1.125601372069186361981741756,-0.941625795203732299785009684,0.2703518176224989305344399722
1s,all,"[0.01,0.05)bps",0,,,,
1s,all,>=0.05bps,0,,,,
1s,buy,<-0.05bps,3,-0.06651419728728264827202838073,-2.019830624178735822381971980,-1.405856208466523808011418728,0.1941399839270074939483916976
1s,buy,"[-0.05,-0.01)bps",0,,,,
1s,buy,"[-0.01,0.0)bps",769,-0.0005763860388509524914355029993,-1.083208839564334592325594610,-0.9037685627347375091542955901,0.2121585839644643565535873057
1s,buy,"[0.0,0.01)bps",40,0.000318833085977860263238093683,-1.019210920622673053694282893,-0.804910796786639489149858108,0.306675059106356413076044325
1s,buy,"[0.01,0.05)bps",0,,,,
1s,buy,>=0.05bps,0,,,,
1s,sell,<-0.05bps,0,,,,
1s,sell,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-1.233353336579144795328273456,-0.515991404632604542618955839,0.1174008574898577888441777655
1s,sell,"[-0.01,0.0)bps",734,-0.0005977809327941236568809506749,-1.141937409141821259590932418,-0.9420572572440333099196011745,0.2123854691139131024679486559
1s,sell,"[0.0,0.01)bps",58,0.0002841935498145655899413348295,-1.198974097204712781490334075,-1.126017746167758155366135536,0.2453013062543213563678162809
1s,sell,"[0.01,0.05)bps",0,,,,
1s,sell,>=0.05bps,0,,,,
