horizon,side,bucket,n,avg_side_aligned_ofi,avg_mid_move_bps,median_mid_move_bps
1s,all,<-1.0,821,-2.133187478134103051122028674,-1.112182479885603171313499894,-0.8848728838603001245180806237
1s,all,"[-1.0,-0.25)",404,-0.6063374611307460512414946760,-1.1020934556382907284112596,-1.017025963496786512017244270
1s,all,"[-0.25,0.0)",491,-0.08570419656848677824614777778,-1.179320013328759456480840300,-0.9529209151901060353975026588
1s,all,"[0.0,0.25)",198,0.04944714723194975508552989165,-1.088267956707359250350740160,-0.837886315697685350059171928
1s,all,"[0.25,1.0)",66,0.5257248943177716318369047021,-0.6828554894718920462146073241,-0.664102201365832851262332417
1s,all,>=1.0,49,2.026810082797527253261202832,-1.243935597838340848714787217,-0.8748278277026593339612441763
1s,buy,<-1.0,410,-1.998426279433285829868516594,-1.131655067981436574700296406,-0.841768850426983391835377048
1s,buy,"[-1.0,-0.25)",186,-0.6101813566367012748584497651,-1.023919994673575776389530403,-1.007318339262539949732575265
1s,buy,"[-0.25,0.0)",261,-0.09002441279840863722157976161,-1.127968746601595739369658938,-0.9298715983572736642313722805
1s,buy,"[0.0,0.25)",97,0.04507797828041160916691613414,-1.032132051152396519533769474,-0.7574776958011134385860881110
1s,buy,"[0.25,1.0)",34,0.5078076446129620929791012318,-0.4161372759149548091460732921,-0.548037432400080778006415416
1s,buy,>=1.0,22,2.260693335138134054885930225,-1.320616866058243633206872749,-0.676165137166619271498136247
1s,sell,<-1.0,411,-2.267620790706694439720422714,-1.092757270349613644820588532,-0.8980775378687706053658543370
1s,sell,"[-1.0,-0.25)",218,-0.6030578071669493925591384972,-1.168791913158643852613285428,-1.035495131805119549314087891
1s,sell,"[-0.25,0.0)",230,-0.08080169032496675566967930913,-1.237592537745236544159180887,-0.999535229688988941270564358
1s,sell,"[0.0,0.25)",101,0.05364327978936757839350548052,-1.142180658081927417570999132,-0.9726195775720225781624853541
1s,sell,"[0.25,1.0)",32,0.5447619721291317668733208884,-0.9662435913761378605999247331,-0.9768307956138127587440689915
1s,sell,>=1.0,27,1.836238543853329118604017548,-1.181454564473975616906421229,-0.8793671140825897111015351944
