horizon,side,bucket,n,avg_side_aligned_ofi,avg_mid_move_bps,median_mid_move_bps
1s,all,<-1.0,687,-2.145884269969054132958170229,-1.099322138845048314370452471,-0.8752219590619325049657347898
1s,all,"[-1.0,-0.25)",287,-0.6148013934408374140122161415,-1.100331234116631787265147406,-1.017025963496786512017244270
1s,all,"[-0.25,0.0)",388,-0.08527335865530548648205308807,-1.172857637513968422302738026,-0.9524124607580463299468542535
1s,all,"[0.0,0.25)",159,0.05317093613528286259894189794,-1.180533057819196840824592377,-0.9487920240533477692262514183
1s,all,"[0.25,1.0)",53,0.5332164022297382719070901453,-0.6196922746133485678760890836,-0.6435620774583588354244548393
1s,all,>=1.0,34,1.933226834126924988849237638,-1.404313649969318283631909875,-0.860617103640585971203953307
1s,buy,<-1.0,346,-2.027812797338828097275490608,-1.094696775160215205846881291,-0.830591475066187758169336837
1s,buy,"[-1.0,-0.25)",140,-0.6119232577557065258345024449,-1.060745780679314527080279299,-1.020639534853429151635373158
1s,buy,"[-0.25,0.0)",209,-0.08640909330519515000432410158,-1.138743903323424129813516223,-0.9480774437891606056357521113
1s,buy,"[0.0,0.25)",74,0.05243901817817500389862205407,-1.135288838369757890971578129,-0.753483521840117743417948203
1s,buy,"[0.25,1.0)",29,0.5115905455179779975151384031,-0.3249758748831776331146218909,-0.4276697428616348616279055538
1s,buy,>=1.0,14,1.987740292912631791196003891,-1.557250164549396517088192736,-0.676165137166619271498136247
1s,sell,<-1.0,341,-2.265686995863652984413323152,-1.104015323111770471406099475,-0.8932662076787345853476452634
1s,sell,"[-1.0,-0.25)",147,-0.6175424750457239741814672773,-1.138031665961695844584069416,-0.9989345364234507474327881881
1s,sell,"[-0.25,0.0)",179,-0.08394727741604884024655229592,-1.212688757323039691186801468,-0.9529209151901060353975026588
1s,sell,"[0.0,0.25)",85,0.05380813529794146899686740907,-1.219922142986943691284863604,-0.9793261290773005115144551853
1s,sell,"[0.25,1.0)",24,0.5593476457564486034640318329,-0.9758079242873051140461952758,-1.149466376996835757998734744
1s,sell,>=1.0,20,1.895067412976930227206501262,-1.297258089763263520212511872,-1.169144933844581555841403214
10s,all,<-1.0,687,-2.145884269969054132958170229,-1.458075975930882915306660482,-1.169173523272008815356750354
10s,all,"[-1.0,-0.25)",287,-0.6148013934408374140122161415,-1.605945882382265624057246247,-1.372259028854442071898150342
10s,all,"[-0.25,0.0)",386,-0.08518592912436516810352914984,-1.563737046841689844180329603,-1.256767910032867762467364394
10s,all,"[0.0,0.25)",159,0.05317093613528286259894189794,-1.424617126923389693621629070,-1.198316004774579258109108416
10s,all,"[0.25,1.0)",53,0.5332164022297382719070901453,0.1394874608727812262518086909,0
10s,all,>=1.0,34,1.933226834126924988849237638,-1.75346492086218708284378444,-0.2952771184003862023902476914
10s,buy,<-1.0,346,-2.027812797338828097275490608,-1.723109162752137909290261146,-1.330240654763850988543064764
10s,buy,"[-1.0,-0.25)",140,-0.6119232577557065258345024449,-1.602218617195785622705027848,-1.364300056727681796652003200
10s,buy,"[-0.25,0.0)",207,-0.08625703374170150958371686420,-1.534870948916542915722931954,-1.132730471779743744396059522
10s,buy,"[0.0,0.25)",74,0.05243901817817500389862205407,-1.209419658361142636426454642,-1.368861855650456127041937024
10s,buy,"[0.25,1.0)",29,0.5115905455179779975151384031,0.7866563431739111136907239169,0.6171351661890785683347678491
10s,buy,>=1.0,14,1.987740292912631791196003891,-1.614015150537221951437625019,-0.2911037282282609848262012808
10s,sell,<-1.0,341,-2.265686995863652984413323152,-1.189156672000811865692801744,-0.9999940981780677819607032823
10s,sell,"[-1.0,-0.25)",147,-0.6175424750457239741814672773,-1.609495658750341815821263772,-1.582552554383998863919500736
10s,sell,"[-0.25,0.0)",179,-0.08394727741604884024655229592,-1.597118512040044113402012916,-1.436009826208182839103084658
10s,sell,"[0.0,0.25)",85,0.05380813529794146899686740907,-1.611965511318757719885663275,-1.014800333342471451702709617
