horizon,signal,label,n,avg_signal,avg_forward_drift_bps,median_forward_drift_bps
1s,normalized_ofi,<-1.0,37198,-2.142094687246790739360324962,-0.2762988107609180230239053621,0
1s,normalized_ofi,"[-1.0,-0.25)",37299,-0.5702446893860229934013119580,-0.1094230629778256428378435946,0
1s,normalized_ofi,"[-0.25,0.0)",138575,-0.05305422341373467378592120594,-0.02425071290172101557969706897,0
1s,normalized_ofi,"[0.0,0.25)",145524,0.05027838226087195144807499318,0.02933882048974108720272971778,0
1s,normalized_ofi,"[0.25,1.0)",36527,0.5623178643386560519874375117,0.1165870642642150002623968522,0
1s,normalized_ofi,>=1.0,35136,2.178799500242633854872028420,0.2840074228502820635737772683,0
10s,normalized_ofi,<-1.0,37184,-2.142165300239731904863418896,-0.5676465109517504804359666131,-0.4272091729531147327262541400
10s,normalized_ofi,"[-1.0,-0.25)",37291,-0.5702238318707419973012101086,-0.2390136794264198244971813551,0
10s,normalized_ofi,"[-0.25,0.0)",138491,-0.05305740082165957991396620194,-0.07433609261416918054521991436,0
10s,normalized_ofi,"[0.0,0.25)",145446,0.05028340089334772962454741659,0.09519883416067269448410420108,0
10s,normalized_ofi,"[0.25,1.0)",36508,0.5623143748116187471723550107,0.3285889225385051191415945905,0
10s,normalized_ofi,>=1.0,35123,2.179044637489656746383095520,0.6102340383340309628860192355,0.4068500933976084868123838992
1m,normalized_ofi,<-1.0,37130,-2.142630920182472089552504809,-0.6067553451305911631863521573,-0.4553902515325070712039776406
1m,normalized_ofi,"[-1.0,-0.25)",37200,-0.5702649748046309471465280699,-0.1765420894396445269420158832,-0.1069598067339402875304717111
1m,normalized_ofi,"[-0.25,0.0)",138042,-0.05308568268113092554844898848,-0.02550272246739188892678501967,0
1m,normalized_ofi,"[0.0,0.25)",144963,0.05031123437489410742419617998,0.1669494796925981302291279905,0
1m,normalized_ofi,"[0.25,1.0)",36444,0.5622512322971842608920065468,0.4928473996400825096740904088,0.4219057523401063405335201078
1m,normalized_ofi,>=1.0,35064,2.179066913034123966422949577,0.9058375897909937261682804315,0.8402711947588792875498785585
5m,normalized_ofi,<-1.0,36745,-2.144649668106428352501653169,0.08161324382868643068632851354,0.07967178709358129849203092286
5m,normalized_ofi,"[-1.0,-0.25)",36747,-0.5702628217098157106713818796,0.5440382203482032378795382458,0.3866726725134855609745191848
5m,normalized_ofi,"[-0.25,0.0)",136013,-0.05315781672864868560296298878,0.2780704441231838249406549826,0.2416201286047575841311162103
5m,normalized_ofi,"[0.0,0.25)",142871,0.05039132181913894635912202206,0.4198421657967534032804739763,0.3878994517376931905556678295
5m,normalized_ofi,"[0.25,1.0)",35966,0.5622684697575595596611594442,0.9192701125674736724036816493,0.9473335954792197368536127885
5m,normalized_ofi,>=1.0,34741,2.178760742375794157154445274,1.487116158934707868093458229,1.373662408751469220852295541
