source,scope,scope_value,cluster_gap_ms,cluster_id,rows,start_timestamp_ms,end_timestamp_ms,duration_ms,metric_sum,negative_metric_sum,min_metric,max_metric,first_row_id,last_row_id,nearest_boundary,nearest_boundary_hhmm_utc,boundary_signed_delta_ms,boundary_abs_delta_ms,within_30m_boundary,cluster_share_of_total_metric_sum,cluster_share_of_negative_metric_sum,cluster_share_of_tail_metric_sum
fill,pooled,pooled,60000,fill_pooled_pooled_60000_1,1,1776016183189,1776016183189,0,-11.37888990430753838772235537,-11.37888990430753838772235537,-11.37888990430753838772235537,-11.37888990430753838772235537,2026-04-12 15:00:2026-04-12 17:00:fill-000005:392,2026-04-12 15:00:2026-04-12 17:00:fill-000005:392,US cash close,20:00,-7816811,7816811,False,0.003330055945070764169670982340,0.002020473212597775654924561989,0.007518055419450143981195298164
fill,pooled,pooled,60000,fill_pooled_pooled_60000_2,1,1776016281468,1776016281468,0,-14.65075599068807404963738605,-14.65075599068807404963738605,-14.65075599068807404963738605,-14.65075599068807404963738605,2026-04-12 15:00:2026-04-12 17:00:fill-000006:397,2026-04-12 15:00:2026-04-12 17:00:fill-000006:397,US cash close,20:00,-7718532,7718532,False,0.004287574402851287178886469424,0.002601436543672494146159651141,0.009679783915752458196713695942
fill,pooled,pooled,60000,fill_pooled_pooled_60000_3,1,1776088190311,1776088190311,0,-25.40585051521308854302285371,-25.40585051521308854302285371,-25.40585051521308854302285371,-25.40585051521308854302285371,2026-04-13 12:00:2026-04-13 13:00:fill-000017:1089,2026-04-13 12:00:2026-04-13 13:00:fill-000017:1089,US cash open,13:30,1190311,1190311,True,0.007435075324503984346055640672,0.004511146591709223382781695027,0.01678569647460363958949628562
fill,pooled,pooled,60000,fill_pooled_pooled_60000_4,1,1776088250906,1776088250906,0,-23.74301841780854872964725766,-23.74301841780854872964725766,-23.74301841780854872964725766,-23.74301841780854872964725766,2026-04-13 12:00:2026-04-13 13:00:fill-000021:1109,2026-04-13 12:00:2026-04-13 13:00:fill-000021:1109,US cash open,13:30,1250906,1250906,True,0.006948444031101603079391135326,0.004215888641407602746574994172,0.01568705996729413206801602767
fill,pooled,pooled,60000,fill_pooled_pooled_60000_5,1,1776088384531,1776088384531,0,-12.06449717154332937694559445,-12.06449717154332937694559445,-12.06449717154332937694559445,-12.06449717154332937694559445,2026-04-13 12:00:2026-04-13 13:00:fill-000023:1119,2026-04-13 12:00:2026-04-13 13:00:fill-000023:1119,US cash open,13:30,1384531,1384531,True,0.003530700346716480283600172004,0.002142211899715917666872241673,0.007971037518266760864225994531
fill,pooled,pooled,60000,fill_pooled_pooled_60000_6,1,1776088868432,1776088868432,0,-15.37399469348315925761744351,-15.37399469348315925761744351,-15.37399469348315925761744351,-15.37399469348315925761744351,2026-04-13 12:00:2026-04-13 14:00:fill-000003:1156,2026-04-13 12:00:2026-04-13 14:00:fill-000003:1156,US cash open,13:30,1868432,1868432,False,0.004499231722871258456476940062,0.002729857192575886453548414984,0.01015762917964294944101796728
fill,pooled,pooled,60000,fill_pooled_pooled_60000_7,2,1776091358170,1776091375403,17233,-24.14095866969685637970151780,-24.14095866969685637970151780,-13.14931445022302494001966267,-10.99164421947383143968185513,2026-04-13 12:00:2026-04-13 14:00:fill-000035:1316,2026-04-13 12:00:2026-04-13 14:00:fill-000036:1321,US cash open,13:30,4358170,4358170,False,0.007064902078655254931419262896,0.004286548224716372449152017079,0.01594997989116066926471922283
fill,pooled,pooled,60000,fill_pooled_pooled_60000_8,1,1776095859692,1776095859692,0,-11.31064621543143683740618564,-11.31064621543143683740618564,-11.31064621543143683740618564,-11.31064621543143683740618564,2026-04-13 12:00:2026-04-13 15:00:fill-000020:1447,2026-04-13 12:00:2026-04-13 15:00:fill-000020:1447,US cash open,13:30,8859692,8859692,False,0.003310084286695776917275127314,0.002008355638171572351190081063,0.007472966677111225377433088593
fill,pooled,pooled,60000,fill_pooled_pooled_60000_9,1,1776096531420,1776096531420,0,-11.05130534759458757414940889,-11.05130534759458757414940889,-11.05130534759458757414940889,-11.05130534759458757414940889,2026-04-13 12:00:2026-04-13 16:00:fill-000006:1476,2026-04-13 12:00:2026-04-13 16:00:fill-000006:1476,US cash open,13:30,9531420,9531420,False,0.003234187638955738278118273490,0.001962306218517915772869407783,0.007301619644727368299895786726
fill,pooled,pooled,60000,fill_pooled_pooled_60000_10,1,1776174009783,1776174009783,0,-11.96880338475943433047319176,-11.96880338475943433047319176,-11.96880338475943433047319176,-11.96880338475943433047319176,2026-04-14 12:00:2026-04-14 13:00:fill-000017:2047,2026-04-14 12:00:2026-04-14 13:00:fill-000017:2047,US cash open,13:30,609783,609783,True,0.003502695359739199550382636539,0.002125220195390198637652345955,0.007907812441094160374328471629
