source,scope,scope_value,cluster_gap_ms,cluster_count,tail_rows,largest_cluster_rows,worst_cluster_id,worst_cluster_metric_sum,worst_cluster_share_of_total_metric_sum,worst_cluster_share_of_negative_metric_sum,worst_cluster_share_of_tail_metric_sum
fill,pooled,pooled,60000,84,101,4,fill_pooled_pooled_60000_69,-63.08619274320319033809237190,0.01846230633770846056783961525,0.01120179240631988894921099462,0.04168117428273665186188586566
fill,window,2026-04-12 09:00,60000,3,3,1,fill_window_2026_04_12_09_00_60000_3,-7.662948026664129720569987566,0.1257129678974011695517722579,0.08631964238871583117007248586,0.3529538529231121160051603194
fill,window,2026-04-12 15:00,60000,2,2,1,fill_window_2026_04_12_15_00_60000_2,-14.65075599068807404963738605,0.2042590129968639019854780789,0.1588505166495498023816378821,0.5628488397341120872815744591
fill,window,2026-04-13 02:00,60000,2,2,1,fill_window_2026_04_13_02_00_60000_1,-8.106402981162434531502500037,0.09461072500041165269332773908,0.08328137772526751988398694262,0.5516385196902724063895398126
fill,window,2026-04-13 07:00,60000,2,3,2,fill_window_2026_04_13_07_00_60000_2,-14.38561833686063967550429651,0.2119505661247742232816948474,0.1680969884380933556150521197,0.6902090956703720734524899659
fill,window,2026-04-13 12:00,60000,7,7,1,fill_window_2026_04_13_12_00_60000_1,-25.40585051521308854302285371,0.1620381477923770676760734080,0.06259017646700383915660715835,0.2266383740630506555934117203
fill,window,2026-04-14 02:00,60000,3,3,1,fill_window_2026_04_14_02_00_60000_1,-6.058668645885540777522419998,0.08099557676330029482647101854,0.06136570245557151441949577389,0.3713574495890863090717227155
fill,window,2026-04-14 12:00,60000,7,8,2,fill_window_2026_04_14_12_00_60000_1,-35.26111766948656426260973233,0.1591831280510217804409248110,0.06950603427902048309861576124,0.2541833370502579756878994545
fill,window,2026-04-15 00:00,60000,3,3,1,fill_window_2026_04_15_00_00_60000_2,-13.60021330832686381531237011,0.1908829429492785036836932722,0.1139554498625465403833587169,0.4432075583261763542877513571
fill,window,2026-04-15 05:00,60000,4,4,1,fill_window_2026_04_15_05_00_60000_2,-21.74118965541873253671610265,0.1928359021071041486617693605,0.1356679528736589770876721927,0.4608135049419452499373549965
fill,window,2026-04-15 12:00,60000,6,8,2,fill_window_2026_04_15_12_00_60000_1,-35.71001509184497450734672794,0.1189155732649964835251165309,0.07840354092736178134265710866,0.3273958571173455881557752474
fill,window,2026-04-16 12:00,60000,6,7,2,fill_window_2026_04_16_12_00_60000_2,-29.04999600590774534206921338,0.09956033124699631675140362653,0.05847952451298802172100435831,0.2570255648388474473570105031
fill,window,2026-04-16 17:00,60000,7,8,2,fill_window_2026_04_16_17_00_60000_1,-22.03697778478770981344409326,0.06134561289438719335861552394,0.04572585491210670800374141735,0.2092331402408059154459891345
fill,window,2026-04-17 05:00,60000,5,5,1,fill_window_2026_04_17_05_00_60000_3,-15.38987947340878909240644442,0.1309531038454892794447165247,0.06510662465149136303118143348,0.2512312448988202457536162071
fill,window,2026-04-17 12:00,60000,7,8,2,fill_window_2026_04_17_12_00_60000_3,-39.24346853741261399073862065,0.1504412517453611086207421361,0.06329071833532863088338375543,0.2200702902724031690318636257
fill,window,2026-04-18 13:00,60000,2,2,1,fill_window_2026_04_18_13_00_60000_1,-9.246657922673227622466075904,0.2409673750851377149923317475,0.1162261615048713946599918172,0.5053914227178134928421452750
fill,window,2026-04-18 19:00,60000,1,2,2,fill_window_2026_04_18_19_00_60000_1,-10.03643786726091391655352790,0.2196487421539893623479236427,0.1728455518537920099385815076,1
fill,window,2026-04-19 13:00,60000,3,5,3,fill_window_2026_04_19_13_00_60000_2,-63.08619274320319033809237190,0.2143595474266577023253274737,0.1601779181365285838315405113,0.5700461329126381890952500443
fill,window,2026-04-20 03:00,60000,4,4,1,fill_window_2026_04_20_03_00_60000_4,-18.67597044876694743172800238,0.1609408687263060308132048193,0.1064088092325155814860109272,0.3561231425541517511392209971
fill,window,2026-04-20 13:00,60000,4,5,2,fill_window_2026_04_20_13_00_60000_1,-24.67688996868040770409627982,0.09585500689925483931733018567,0.05949012384132365124405475274,0.3627742097878047258668848891
fill,window,2026-05-06 18:00,60000,2,2,1,fill_window_2026_05_06_18_00_60000_1,-8.248677392161026186137855975,0.1104773109233236141591342332,0.08961193776197018992378505339,0.5820165071600048706625828247
fill,window,2026-05-07 16:00,60000,6,6,1,fill_window_2026_05_07_16_00_60000_6,-17.91009921922731945743963131,0.1329903613036017326195511386,0.07102882744973721129682976958,0.2469987434622909725590676712
fill,window,2026-05-08 07:00,60000,3,3,1,fill_window_2026_05_08_07_00_60000_3,-12.96134800011530606444525673,0.1253076810974785315855050461,0.1098954415176450065285620585,0.4442145603536891072809893096
fill,window,2026-05-09 07:00,60000,1,1,1,fill_window_2026_05_09_07_00_60000_1,-5.300935820012246817897538278,0.1712504103566632824425844324,0.1653906548826601503567464481,1
fill,window,2026-05-09 13:00,60000,2,2,1,fill_window_2026_05_09_13_00_60000_2,-8.662684729986879017631238776,0.1265888271938733688736357931,0.1241934700130214388833642698,0.6240195171396573194474743700
fill,pooled,pooled,120000,76,101,4,fill_pooled_pooled_120000_49,-67.79820612076592014790232605,0.01984128691429930428082251157,0.01203847303921394923611523165,0.04479441098751368566589541438
fill,window,2026-04-12 09:00,120000,3,3,1,fill_window_2026_04_12_09_00_120000_3,-7.662948026664129720569987566,0.1257129678974011695517722579,0.08631964238871583117007248586,0.3529538529231121160051603194
fill,window,2026-04-12 15:00,120000,1,2,2,fill_window_2026_04_12_15_00_120000_1,-26.02964589499561243735974142,0.3629020770360922797136544241,0.2822258934114357526185847365,1
