source,scope,scope_value,cluster_gap_ms,cluster_id,rows,start_timestamp_ms,end_timestamp_ms,duration_ms,metric_sum,negative_metric_sum,min_metric,max_metric,first_row_id,last_row_id,nearest_boundary,nearest_boundary_hhmm_utc,boundary_signed_delta_ms,boundary_abs_delta_ms,within_30m_boundary,cluster_share_of_total_metric_sum,cluster_share_of_negative_metric_sum,cluster_share_of_tail_metric_sum
fill,pooled,pooled,60000,fill_pooled_pooled_60000_1,1,1776016183189,1776016183189,0,-11.37888990430753838772235537,-11.37888990430753838772235537,-11.37888990430753838772235537,-11.37888990430753838772235537,2026-04-12 15:00:2026-04-12 17:00:fill-000004:293,2026-04-12 15:00:2026-04-12 17:00:fill-000004:293,US cash close,20:00,-7816811,7816811,False,0.004199518190206652888586555454,0.002546808681583511476949092632,0.009281231142098261174373856368
fill,pooled,pooled,60000,fill_pooled_pooled_60000_2,1,1776088190311,1776088190311,0,-25.40585051521308854302285371,-25.40585051521308854302285371,-25.40585051521308854302285371,-25.40585051521308854302285371,2026-04-13 12:00:2026-04-13 13:00:fill-000015:844,2026-04-13 12:00:2026-04-13 13:00:fill-000015:844,US cash open,13:30,1190311,1190311,True,0.009376339192447893221174163491,0.005686305184362812400313728448,0.02072237036971651030799976654
fill,pooled,pooled,60000,fill_pooled_pooled_60000_3,1,1776088250906,1776088250906,0,-23.74301841780854872964725766,-23.74301841780854872964725766,-23.74301841780854872964725766,-23.74301841780854872964725766,2026-04-13 12:00:2026-04-13 13:00:fill-000019:864,2026-04-13 12:00:2026-04-13 13:00:fill-000019:864,US cash open,13:30,1250906,1250906,True,0.008762650713252188980396276930,0.005314132216938068108294931367,0.01936607558381922411776799975
fill,pooled,pooled,60000,fill_pooled_pooled_60000_4,1,1776091358170,1776091358170,0,-13.14931445022302494001966267,-13.14931445022302494001966267,-13.14931445022302494001966267,-13.14931445022302494001966267,2026-04-13 12:00:2026-04-13 14:00:fill-000026:1013,2026-04-13 12:00:2026-04-13 14:00:fill-000026:1013,US cash open,13:30,4358170,4358170,False,0.004852914975612398627453513693,0.002943062854138536130607767021,0.01072528408298010178410978920
fill,pooled,pooled,60000,fill_pooled_pooled_60000_5,2,1776091565219,1776091575808,10589,-37.15509260291357426680889141,-37.15509260291357426680889141,-18.95722874275511678073961124,-18.19786386015845748606928017,2026-04-13 12:00:2026-04-13 14:00:fill-000027:1018,2026-04-13 12:00:2026-04-13 14:00:fill-000028:1023,US cash open,13:30,4565219,4565219,False,0.01371254037581301452626460589,0.008316005621103521385766742860,0.03030568055880067229402432252
fill,pooled,pooled,60000,fill_pooled_pooled_60000_6,1,1776095859692,1776095859692,0,-11.31064621543143683740618564,-11.31064621543143683740618564,-11.31064621543143683740618564,-11.31064621543143683740618564,2026-04-13 12:00:2026-04-13 15:00:fill-000016:1132,2026-04-13 12:00:2026-04-13 15:00:fill-000016:1132,US cash open,13:30,8859692,8859692,False,0.004174332023962659131837187177,0.002531534465842383226220164783,0.009225567939819736007102206905
fill,pooled,pooled,60000,fill_pooled_pooled_60000_7,1,1776096531420,1776096531420,0,-11.05130534759458757414940889,-11.05130534759458757414940889,-11.05130534759458757414940889,-11.05130534759458757414940889,2026-04-13 12:00:2026-04-13 16:00:fill-000004:1151,2026-04-13 12:00:2026-04-13 16:00:fill-000004:1151,US cash open,13:30,9531420,9531420,False,0.004078619111622014994952276089,0.002473489122293865613565192093,0.009014035658619355355381320053
fill,pooled,pooled,60000,fill_pooled_pooled_60000_8,1,1776174009783,1776174009783,0,-11.96880338475943433047319176,-11.96880338475943433047319176,-11.96880338475943433047319176,-11.96880338475943433047319176,2026-04-14 12:00:2026-04-14 13:00:fill-000015:1627,2026-04-14 12:00:2026-04-14 13:00:fill-000015:1627,US cash open,13:30,609783,609783,True,0.004417232959629638432146234098,0.002678842367297378302083961415,0.009762396124970718162785336296
fill,pooled,pooled,60000,fill_pooled_pooled_60000_9,1,1776174104781,1776174104781,0,-35.26111766948656426260973233,-35.26111766948656426260973233,-35.26111766948656426260973233,-35.26111766948656426260973233,2026-04-14 12:00:2026-04-14 13:00:fill-000016:1632,2026-04-14 12:00:2026-04-14 13:00:fill-000016:1632,US cash open,13:30,704781,704781,True,0.01301354581205410013298545127,0.007892098557785555164720168873,0.02876085331446448765630017048
fill,pooled,pooled,60000,fill_pooled_pooled_60000_10,1,1776174426399,1776174426399,0,-14.36355443698779350307907654,-14.36355443698779350307907654,-14.36355443698779350307907654,-14.36355443698779350307907654,2026-04-14 12:00:2026-04-14 13:00:fill-000024:1672,2026-04-14 12:00:2026-04-14 13:00:fill-000024:1672,US cash open,13:30,1026399,1026399,True,0.005301045061638153519779271256,0.003214832505292969257202808083,0.01171568315300502297169100973
fill,pooled,pooled,60000,fill_pooled_pooled_60000_11,2,1776175812219,1776175820469,8250,-26.30928477326730939654029751,-26.30928477326730939654029751,-13.34430049003442689227296573,-12.96498428323288250426733178,2026-04-14 12:00:2026-04-14 14:00:fill-000013:1766,2026-04-14 12:00:2026-04-14 14:00:fill-000014:1771,US cash open,13:30,2412219,2412219,False,0.009709762631136610783876017646,0.005888510692193716020312949168,0.02145925966570285186592406227
fill,pooled,pooled,60000,fill_pooled_pooled_60000_12,1,1776176194515,1776176194515,0,-11.10684671380094203691309081,-11.10684671380094203691309081,-11.10684671380094203691309081,-11.10684671380094203691309081,2026-04-14 12:00:2026-04-14 14:00:fill-000017:1786,2026-04-14 12:00:2026-04-14 14:00:fill-000017:1786,US cash open,13:30,2794515,2794515,False,0.004099117330662188481324690866,0.002485920320313261578112010536,0.009059338167215906474407699145
fill,pooled,pooled,60000,fill_pooled_pooled_60000_13,1,1776176660666,1776176660666,0,-11.96562709775868451037284173,-11.96562709775868451037284173,-11.96562709775868451037284173,-11.96562709775868451037284173,2026-04-14 12:00:2026-04-14 14:00:fill-000025:1826,2026-04-14 12:00:2026-04-14 14:00:fill-000025:1826,US cash open,13:30,3260666,3260666,False,0.004416060712147753903058189755,0.002678131454776320495532461827,0.009759805375427000250527079076
fill,pooled,pooled,60000,fill_pooled_pooled_60000_14,1,1776176791765,1776176791765,0,-14.53296436338778989217795562,-14.53296436338778989217795562,-14.53296436338778989217795562,-14.53296436338778989217795562,2026-04-14 12:00:2026-04-14 14:00:fill-000026:1831,2026-04-14 12:00:2026-04-14 14:00:fill-000026:1831,US cash open,13:30,3391765,3391765,False,0.005363567862500216148382400659,0.003252749619785711215472395377,0.01185386294891718889204246886
fill,pooled,pooled,60000,fill_pooled_pooled_60000_15,1,1776178434738,1776178434738,0,-13.17690106149329204686365728,-13.17690106149329204686365728,-13.17690106149329204686365728,-13.17690106149329204686365728,2026-04-14 12:00:2026-04-14 14:00:fill-000040:1901,2026-04-14 12:00:2026-04-14 14:00:fill-000040:1901,US cash open,13:30,5034738,5034738,False,0.004863096151176087908749979318,0.002949237254424454121863892840,0.01074778519844740563111134522
fill,pooled,pooled,60000,fill_pooled_pooled_60000_16,1,1776217999082,1776217999082,0,-13.60021330832686381531237011,-13.60021330832686381531237011,-13.60021330832686381531237011,-13.60021330832686381531237011,2026-04-15 00:00:2026-04-15 01:00:fill-000013:2286,2026-04-15 00:00:2026-04-15 01:00:fill-000013:2286,Singapore/Hong Kong,01:00,3199082,3199082,False,0.005019324702086126396999156690,0.003043982463695548683600901319,0.01109306130544761856591196759
fill,pooled,pooled,60000,fill_pooled_pooled_60000_17,1,1776237421140,1776237421140,0,-18.38014121413880141518826916,-18.38014121413880141518826916,-18.38014121413880141518826916,-18.38014121413880141518826916,2026-04-15 05:00:2026-04-15 07:00:fill-000006:2544,2026-04-15 05:00:2026-04-15 07:00:fill-000006:2544,London,07:00,1021140,1021140,True,0.006783415431247214074234595587,0.004113819854710006973983800667,0.01499182613307919624881507975
fill,pooled,pooled,60000,fill_pooled_pooled_60000_18,2,1776260268236,1776260268265,29,-35.71001509184497450734672794,-35.71001509184497450734672794,-17.85500754592248725367336397,-17.85500754592248725367336397,2026-04-15 12:00:2026-04-15 13:00:fill-000012:2841,2026-04-15 12:00:2026-04-15 13:00:fill-000013:2846,US cash open,13:30,468236,468236,True,0.01317921688423991924070783569,0.007992570208536835745270081466,0.02912699805890246054632961176
fill,pooled,pooled,60000,fill_pooled_pooled_60000_19,1,1776261475106,1776261475106,0,-12.16994217520757379581455878,-12.16994217520757379581455878,-12.16994217520757379581455878,-12.16994217520757379581455878,2026-04-15 12:00:2026-04-15 13:00:fill-000026:2910,2026-04-15 12:00:2026-04-15 13:00:fill-000026:2910,US cash open,13:30,1675106,1675106,True,0.004491465684996228501206399753,0.002723860995830079791070950864,0.009926455679240995041688546327
fill,pooled,pooled,60000,fill_pooled_pooled_60000_20,1,1776262767415,1776262767415,0,-13.38374363910317876702732983,-13.38374363910317876702732983,-13.38374363910317876702732983,-13.38374363910317876702732983,2026-04-15 12:00:2026-04-15 14:00:fill-000007:2944,2026-04-15 12:00:2026-04-15 14:00:fill-000007:2944,US cash open,13:30,2967415,2967415,False,0.004939433928805267949743384891,0.002995532497353076905375717377,0.01091649706656188877594731842
fill,pooled,pooled,60000,fill_pooled_pooled_60000_21,2,1776262901778,1776262901779,1,-24.96455062091879323102194876,-24.96455062091879323102194876,-12.48227531045939661551097438,-12.48227531045939661551097438,2026-04-15 12:00:2026-04-15 14:00:fill-000008:2949,2026-04-15 12:00:2026-04-15 14:00:fill-000009:2954,US cash open,13:30,3101778,3101778,False,0.009213472080716404375501482435,0.005587534002690236715595719848,0.02036242257547883203788160372
fill,pooled,pooled,60000,fill_pooled_pooled_60000_22,1,1776264931265,1776264931265,0,-11.90929386705072667523404162,-11.90929386705072667523404162,-11.90929386705072667523404162,-11.90929386705072667523404162,2026-04-15 12:00:2026-04-15 14:00:fill-000023:3024,2026-04-15 12:00:2026-04-15 14:00:fill-000023:3024,US cash open,13:30,5131265,5131265,False,0.004395270245849137093382609297,0.002665523022650233875116785997,0.009713856979794507149589565606
fill,pooled,pooled,60000,fill_pooled_pooled_60000_23,1,1776346896678,1776346896678,0,-18.59083506256407385084990550,-18.59083506256407385084990550,-18.59083506256407385084990550,-18.59083506256407385084990550,2026-04-16 12:00:2026-04-16 13:00:fill-000014:3405,2026-04-16 12:00:2026-04-16 13:00:fill-000014:3405,US cash open,13:30,696678,696678,True,0.006861174567372753392247880708,0.004160977084179517239779872830,0.01516367930363434021637016659
fill,pooled,pooled,60000,fill_pooled_pooled_60000_24,2,1776348090183,1776348145747,55564,-29.04999600590774534206921338,-29.04999600590774534206921338,-14.97532034934368733093186724,-14.07467565656405801113734614,2026-04-16 12:00:2026-04-16 14:00:fill-000001:3453,2026-04-16 12:00:2026-04-16 14:00:fill-000002:3458,US cash open,13:30,1890183,1890183,False,0.01072125555991696252593428441,0.006501933198229192142136204831,0.02369473031862230324741258196
fill,pooled,pooled,60000,fill_pooled_pooled_60000_25,4,1776348969894,1776348969931,37,-47.40137947752155246291708306,-47.40137947752155246291708306,-11.91798180354412338199007408,-11.64743406688918231694686082,2026-04-16 12:00:2026-04-16 14:00:fill-000008:3488,2026-04-16 12:00:2026-04-16 14:00:fill-000011:3503,US cash open,13:30,2769894,2769894,False,0.01749405759531813055227981449,0.01060931653154376200602705714,0.03866310009895144947705571422
fill,pooled,pooled,60000,fill_pooled_pooled_60000_26,1,1776349169577,1776349169577,0,-11.63986883802141776588769135,-11.63986883802141776588769135,-11.63986883802141776588769135,-11.63986883802141776588769135,2026-04-16 12:00:2026-04-16 14:00:fill-000013:3513,2026-04-16 12:00:2026-04-16 14:00:fill-000013:3513,US cash open,13:30,2969577,2969577,False,0.004295835650750609957358475044,0.002605220654955474936755483411,0.009494099517430719255411851123
fill,pooled,pooled,60000,fill_pooled_pooled_60000_27,1,1776349826351,1776349826351,0,-12.27908174589593142744833592,-12.27908174589593142744833592,-12.27908174589593142744833592,-12.27908174589593142744833592,2026-04-16 12:00:2026-04-16 14:00:fill-000019:3543,2026-04-16 12:00:2026-04-16 14:00:fill-000019:3543,US cash open,13:30,3626351,3626351,False,0.004531744975527337173997076812,0.002748288475880500548365645126,0.01001547574981260344073583098
fill,pooled,pooled,60000,fill_pooled_pooled_60000_28,1,1776352199840,1776352199840,0,-21.96085675886433960128859467,-21.96085675886433960128859467,-21.96085675886433960128859467,-21.96085675886433960128859467,2026-04-16 12:00:2026-04-16 15:00:fill-000003:3626,2026-04-16 12:00:2026-04-16 15:00:fill-000003:3626,US cash open,13:30,5999840,5999840,False,0.008104922203040320204161943335,0.004915251058656873298323137614,0.01791244922585745646221755240
