source,scope,scope_value,cluster_gap_ms,cluster_count,tail_rows,largest_cluster_rows,worst_cluster_id,worst_cluster_metric_sum,worst_cluster_share_of_total_metric_sum,worst_cluster_share_of_negative_metric_sum,worst_cluster_share_of_tail_metric_sum
fill,pooled,pooled,60000,66,80,4,fill_pooled_pooled_60000_54,-63.08619274320319033809237190,0.02328272935268259254301528696,0.01411987150922505347792639188,0.05145647261276164130115400946
fill,window,2026-04-12 09:00,60000,2,2,1,fill_window_2026_04_12_09_00_60000_2,-7.662948026664129720569987566,0.1351993173018161013172364891,0.1105090445425437226186092098,0.5032219826207375588127325905
fill,window,2026-04-12 15:00,60000,1,1,1,fill_window_2026_04_12_15_00_60000_1,-11.37888990430753838772235537,0.2367124686791831456719663527,0.1797041117069711214725201046,1
fill,window,2026-04-13 02:00,60000,2,2,1,fill_window_2026_04_13_02_00_60000_1,-8.106402981162434531502500037,0.1082382295590531026161367212,0.09366154908411611994201277045,0.5516385196902724063895398126
fill,window,2026-04-13 07:00,60000,1,2,2,fill_window_2026_04_13_07_00_60000_1,-14.38561833686063967550429651,0.2773786377697632568665435522,0.2130006968211449071662442928,1
fill,window,2026-04-13 12:00,60000,5,6,2,fill_window_2026_04_13_12_00_60000_4,-37.15509260291357426680889141,0.3205765624715771847420894481,0.1165472130383074555507690849,0.3354439953407530010534399546
fill,window,2026-04-14 02:00,60000,2,2,1,fill_window_2026_04_14_02_00_60000_1,-6.058668645885540777522419998,0.09866344550945928210651531660,0.07574708343515028633543826452,0.5339380097402820903610641248
fill,window,2026-04-14 12:00,60000,6,7,2,fill_window_2026_04_14_12_00_60000_2,-35.26111766948656426260973233,0.2786041433540421202679089661,0.09336617007559138568438709889,0.3049936584281290220907158152
fill,window,2026-04-15 00:00,60000,2,2,1,fill_window_2026_04_15_00_00_60000_1,-13.60021330832686381531237011,0.2367888638706926303423032770,0.1387060064694561036071022006,0.5845141176203610896286018756
fill,window,2026-04-15 05:00,60000,3,3,1,fill_window_2026_04_15_05_00_60000_2,-18.38014121413880141518826916,0.2336335089782378910687953569,0.1535970799086080959012595485,0.5370110490502029375877314743
fill,window,2026-04-15 12:00,60000,4,6,2,fill_window_2026_04_15_12_00_60000_1,-35.71001509184497450734672794,0.1328476063925107432858637709,0.09584739613369571919986865661,0.4141335868399524058890987477
fill,window,2026-04-16 12:00,60000,5,6,2,fill_window_2026_04_16_12_00_60000_2,-29.04999600590774534206921338,0.1368789314973007528972555590,0.07550778249535395199149443666,0.3038656215081957891279319831
fill,window,2026-04-16 17:00,60000,6,6,1,fill_window_2026_04_16_17_00_60000_5,-21.07758646163154809102154712,0.07935421359536021067309966883,0.05822821388917985888364498259,0.2584572298834774593707979713
fill,window,2026-04-17 05:00,60000,4,4,1,fill_window_2026_04_17_05_00_60000_1,-15.26112415443891949704009318,0.1437668035165278508548854457,0.08484633030504015997652694807,0.3327187253022143961112619437
fill,window,2026-04-17 12:00,60000,6,6,1,fill_window_2026_04_17_12_00_60000_2,-28.55473758335330615716370540,0.1016312224099178835819867369,0.05002842285074017632055113708,0.2060712122138865000184271540
fill,window,2026-04-18 13:00,60000,2,2,1,fill_window_2026_04_18_13_00_60000_1,-9.246657922673227622466075904,0.2902590259091253354103891636,0.1523583484820049938259411459,0.5053914227178134928421452750
fill,window,2026-04-18 19:00,60000,1,1,1,fill_window_2026_04_18_19_00_60000_1,-5.018218933630456958276763950,0.1230730962576041528446035756,0.09442131149346311195419905622,1
fill,window,2026-04-19 13:00,60000,2,4,3,fill_window_2026_04_19_13_00_60000_1,-63.08619274320319033809237190,0.2761827316305908147724066091,0.1983118228813157407626319451,0.7624739424529905083416965574
fill,window,2026-04-20 03:00,60000,3,3,1,fill_window_2026_04_20_03_00_60000_3,-18.67597044876694743172800238,0.2733211597432672785178249199,0.1634045009517508952239315661,0.4428861476787419023043216934
fill,window,2026-04-20 13:00,60000,4,5,2,fill_window_2026_04_20_13_00_60000_1,-24.67688996868040770409627982,0.1111397458252279585441015229,0.07088043652928080999329850816,0.3627742097878047258668848891
fill,window,2026-05-06 18:00,60000,2,2,1,fill_window_2026_05_06_18_00_60000_2,-5.923905843340477963789541503,0.1342427270676022731349948770,0.09826894254329292234935557383,0.5036681809598852475619910288
fill,window,2026-05-07 16:00,60000,4,4,1,fill_window_2026_05_07_16_00_60000_4,-17.91009921922731945743963131,0.1703022770521242897966970030,0.09390713214637601404795396869,0.3272714600747604070455613588
fill,window,2026-05-08 07:00,60000,2,2,1,fill_window_2026_05_08_07_00_60000_2,-12.96134800011530606444525673,0.1672477852822891163231370129,0.1535902063631817226415398466,0.6094890350197777894794768475
fill,window,2026-05-09 07:00,60000,1,1,1,fill_window_2026_05_09_07_00_60000_1,-5.300935820012246817897538278,0.1897765942488493499633908092,0.1897765942488493499633908092,1
fill,window,2026-05-09 13:00,60000,1,1,1,fill_window_2026_05_09_13_00_60000_1,-8.662684729986879017631238776,0.1489019951391268405630604377,0.1459686515561250119701184090,1
fill,pooled,pooled,120000,59,80,4,fill_pooled_pooled_120000_48,-63.08619274320319033809237190,0.02328272935268259254301528696,0.01411987150922505347792639188,0.05145647261276164130115400946
fill,window,2026-04-12 09:00,120000,2,2,1,fill_window_2026_04_12_09_00_120000_2,-7.662948026664129720569987566,0.1351993173018161013172364891,0.1105090445425437226186092098,0.5032219826207375588127325905
fill,window,2026-04-12 15:00,120000,1,1,1,fill_window_2026_04_12_15_00_120000_1,-11.37888990430753838772235537,0.2367124686791831456719663527,0.1797041117069711214725201046,1
fill,window,2026-04-13 02:00,120000,2,2,1,fill_window_2026_04_13_02_00_120000_1,-8.106402981162434531502500037,0.1082382295590531026161367212,0.09366154908411611994201277045,0.5516385196902724063895398126
fill,window,2026-04-13 07:00,120000,1,2,2,fill_window_2026_04_13_07_00_120000_1,-14.38561833686063967550429651,0.2773786377697632568665435522,0.2130006968211449071662442928,1
fill,window,2026-04-13 12:00,120000,4,6,2,fill_window_2026_04_13_12_00_120000_1,-49.14886893302163727267011137,0.4240596469588300990590080095,0.1541690060995714153041220036,0.4437263321496596241194114945
fill,window,2026-04-14 02:00,120000,2,2,1,fill_window_2026_04_14_02_00_120000_1,-6.058668645885540777522419998,0.09866344550945928210651531660,0.07574708343515028633543826452,0.5339380097402820903610641248
fill,window,2026-04-14 12:00,120000,5,7,2,fill_window_2026_04_14_12_00_120000_1,-47.22992105424599859308292409,0.3731717133681214941807212580,0.1250577727893018155287720538,0.4085187130092451083611635424
fill,window,2026-04-15 00:00,120000,2,2,1,fill_window_2026_04_15_00_00_120000_1,-13.60021330832686381531237011,0.2367888638706926303423032770,0.1387060064694561036071022006,0.5845141176203610896286018756
fill,window,2026-04-15 05:00,120000,3,3,1,fill_window_2026_04_15_05_00_120000_2,-18.38014121413880141518826916,0.2336335089782378910687953569,0.1535970799086080959012595485,0.5370110490502029375877314743
fill,window,2026-04-15 12:00,120000,4,6,2,fill_window_2026_04_15_12_00_120000_1,-35.71001509184497450734672794,0.1328476063925107432858637709,0.09584739613369571919986865661,0.4141335868399524058890987477
fill,window,2026-04-16 12:00,120000,5,6,2,fill_window_2026_04_16_12_00_120000_2,-29.04999600590774534206921338,0.1368789314973007528972555590,0.07550778249535395199149443666,0.3038656215081957891279319831
fill,window,2026-04-16 17:00,120000,6,6,1,fill_window_2026_04_16_17_00_120000_5,-21.07758646163154809102154712,0.07935421359536021067309966883,0.05822821388917985888364498259,0.2584572298834774593707979713
fill,window,2026-04-17 05:00,120000,3,4,2,fill_window_2026_04_17_05_00_120000_3,-21.00194081848572363176482845,0.1978479349595456954914592977,0.1167631944868126096788064432,0.4578783913481648689986946753
fill,window,2026-04-17 12:00,120000,4,6,2,fill_window_2026_04_17_12_00_120000_2,-47.20994634453773102403790995,0.1680283190450021821500090557,0.08271269002528609850006836384,0.3407004124402447830431198406
fill,window,2026-04-18 13:00,120000,2,2,1,fill_window_2026_04_18_13_00_120000_1,-9.246657922673227622466075904,0.2902590259091253354103891636,0.1523583484820049938259411459,0.5053914227178134928421452750
fill,window,2026-04-18 19:00,120000,1,1,1,fill_window_2026_04_18_19_00_120000_1,-5.018218933630456958276763950,0.1230730962576041528446035756,0.09442131149346311195419905622,1
fill,window,2026-04-19 13:00,120000,2,4,3,fill_window_2026_04_19_13_00_120000_1,-63.08619274320319033809237190,0.2761827316305908147724066091,0.1983118228813157407626319451,0.7624739424529905083416965574
fill,window,2026-04-20 03:00,120000,3,3,1,fill_window_2026_04_20_03_00_120000_3,-18.67597044876694743172800238,0.2733211597432672785178249199,0.1634045009517508952239315661,0.4428861476787419023043216934
fill,window,2026-04-20 13:00,120000,4,5,2,fill_window_2026_04_20_13_00_120000_1,-24.67688996868040770409627982,0.1111397458252279585441015229,0.07088043652928080999329850816,0.3627742097878047258668848891
fill,window,2026-05-06 18:00,120000,2,2,1,fill_window_2026_05_06_18_00_120000_2,-5.923905843340477963789541503,0.1342427270676022731349948770,0.09826894254329292234935557383,0.5036681809598852475619910288
fill,window,2026-05-07 16:00,120000,3,4,2,fill_window_2026_05_07_16_00_120000_1,-26.27527992320839437850219305,0.2498445121007769049391861018,0.1377678679346926503797839794,0.4801285084512466308498843096
fill,window,2026-05-08 07:00,120000,2,2,1,fill_window_2026_05_08_07_00_120000_2,-12.96134800011530606444525673,0.1672477852822891163231370129,0.1535902063631817226415398466,0.6094890350197777894794768475
fill,window,2026-05-09 07:00,120000,1,1,1,fill_window_2026_05_09_07_00_120000_1,-5.300935820012246817897538278,0.1897765942488493499633908092,0.1897765942488493499633908092,1
