queue_cancellation_mode,window,run_dir,fills,maker_fills,taker_fills,orders_submitted,orders_per_fill,maker_pct,postonly_rejects,matched_net_pnl,residual_inventory_pnl,net_pnl,full_strategy_break_even_maker_fee_bps,matched_break_even_maker_fee_bps,current_maker_fee_bps
proportional,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000,156,156,0,6673,42.77564102564102564102564103,100,408,-3.472174035360566871402258478,-7.726571363216730049387096657,-11.37220505848764408798520268,-18.64532523405394977649761460,-5.777885448158663237241140099,2
proportional,2026-04-14T12:00:00,btcusdt_microprice_20260414_12_5h_5sessions_hs2.00_rq5000,160,160,0,6812,42.575,100,368,-1.832986176838103249294802768,1.406262593481994247479385020,-0.736617841596425501458861211,0.7017923645371876543800346361,-2.608282501303916535533490277,2
proportional,2026-04-15T12:00:00,btcusdt_microprice_20260415_12_5h_5sessions_hs2.00_rq5000,156,156,0,6580,42.17948717948717948717948718,100,358,0.7630404000411121466553357911,0.420992552994834916180809790,0.9214505283333979901052004052,3.744527234333928880975927603,4.013702636410047797567774341,2
proportional,2026-04-16T12:00:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000,156,156,0,6752,43.28205128205128205128205128,100,369,0.9125815891260463586205431527,1.225814746137632266934378437,1.973867155882097032543890581,5.575344177659123182109127382,3.960356139264249203724416543,2
proportional,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000,149,149,0,6532,43.83892617449664429530201342,100,313,0.8537138544463947468004978762,1.157011960228253705778635466,1.799668964080382563429156309,5.357362097257470390798269738,4.026783999361448203342175370,2
proportional,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000,150,150,0,7462,49.74666666666666666666666667,100,460,0.6164418689178726967030715240,-7.577583757230129776781608135,-7.219022619795179517488824403,-11.24509221586100459210921623,3.542129979712256767705473995,2
none,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000_qnone,121,121,0,6675,55.16528925619834710743801653,100,399,-1.86603141838000000000,-7.9305920000000000,-9.98173404982000000000,-20.14079130664131909041493290,-3.444581145126428361671444764,2
none,2026-04-14T12:00:00,btcusdt_microprice_20260414_12_5h_5sessions_hs2.00_rq5000_qnone,130,130,0,6828,52.52307692307692307692307692,100,376,-0.97366356710000000000,3.9009975000000000,2.59313245562000000000,7.467749036570635138990301389,-1.340713996833958210929221428,2
none,2026-04-15T12:00:00,btcusdt_microprice_20260415_12_5h_5sessions_hs2.00_rq5000_qnone,122,122,0,6580,53.93442622950819672131147541,100,359,0.90642102332000000000,0.5322131000000000,1.17704511110000000000,4.666844734754821752256588038,5.087017049428652180335928116,2
none,2026-04-16T12:00:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000_qnone,124,124,0,6738,54.33870967741935483870967742,100,366,1.44014617858000000000,1.4248549000000000,2.68759037464000000000,7.982916589483961330939661611,6.032130397612782688592783429,2
none,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000_qnone,112,112,0,6522,58.23214285714285714285714286,100,313,0.72187400414000000000,0.8845524000000000,1.33408551694000000000,5.130491456712144984440925191,4.607705414905963381553637164,2
none,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000_qnone,124,124,0,7346,59.24193548387096774193548387,100,453,1.39176329956000000000,-7.5784333000000000,-6.45816669974000000000,-10.98550132493858194816000297,6.114787500729144168860302068,2
proportional,pooled,pooled,927,927,0,40811,44.02481121898597626752966559,100,2276,-2.159382499667244171917612902,-11.09407326760414468979549608,-14.63285887158337152085464099,-2.461793675187125488963900254,1.139540036174623613673047644,2
none,pooled,pooled,733,733,0,40689,55.51023192360163710777626194,100,2266,1.62050952012000000000,-8.7664074000000000,-8.64804729126000000000,-1.157191789300704323813690815,2.852884153145101467559854241,2
