source,scope,scope_value,cluster_gap_ms,cluster_id,rows,start_timestamp_ms,end_timestamp_ms,duration_ms,metric_sum,negative_metric_sum,min_metric,max_metric,first_row_id,last_row_id,nearest_boundary,nearest_boundary_hhmm_utc,boundary_signed_delta_ms,boundary_abs_delta_ms,within_30m_boundary,cluster_share_of_total_metric_sum,cluster_share_of_negative_metric_sum,cluster_share_of_tail_metric_sum
fill,pooled,pooled,60000,fill_pooled_pooled_60000_1,1,1776088384374,1776088384374,0,-12.48544420814777097996035098,-12.48544420814777097996035098,-12.48544420814777097996035098,-12.48544420814777097996035098,2026-04-13 12:00:2026-04-13 13:00:fill-000019:157,2026-04-13 12:00:2026-04-13 13:00:fill-000019:157,US cash open,13:30,1384374,1384374,True,0.006719276615919146884417540194,0.003987663172371735264692146825,0.01696143355577062784312752555
fill,pooled,pooled,60000,fill_pooled_pooled_60000_2,1,1776088868432,1776088868432,0,-15.37399469348315925761744351,-15.37399469348315925761744351,-15.37399469348315925761744351,-15.37399469348315925761744351,2026-04-13 12:00:2026-04-13 14:00:fill-000003:189,2026-04-13 12:00:2026-04-13 14:00:fill-000003:189,US cash open,13:30,1868432,1868432,False,0.008273804384931164960729682611,0.004910222770563013526217651792,0.02088551958048191791936486258
fill,pooled,pooled,60000,fill_pooled_pooled_60000_3,1,1776092285697,1776092285697,0,-14.27265142592461349289994131,-14.27265142592461349289994131,-14.27265142592461349289994131,-14.27265142592461349289994131,2026-04-13 12:00:2026-04-13 14:00:fill-000052:432,2026-04-13 12:00:2026-04-13 14:00:fill-000052:432,US cash open,13:30,5285697,5285697,False,0.007681095792394515999254926059,0.004558470288635557171357182055,0.01938934849170326417556791834
fill,pooled,pooled,60000,fill_pooled_pooled_60000_4,1,1776094200378,1776094200378,0,-12.85096693207311306578668048,-12.85096693207311306578668048,-12.85096693207311306578668048,-12.85096693207311306578668048,2026-04-13 12:00:2026-04-13 15:00:fill-000010:483,2026-04-13 12:00:2026-04-13 15:00:fill-000010:483,US cash open,13:30,7200378,7200378,False,0.006915989544230968522879220905,0.004104405635079701774197641701,0.01745799493489545803244018920
fill,pooled,pooled,60000,fill_pooled_pooled_60000_5,1,1776096464423,1776096464423,0,-13.18123770862791323461748100,-13.18123770862791323461748100,-13.18123770862791323461748100,-13.18123770862791323461748100,2026-04-13 12:00:2026-04-13 16:00:fill-000006:578,2026-04-13 12:00:2026-04-13 16:00:fill-000006:578,US cash open,13:30,9464423,9464423,False,0.007093730974077567807802265593,0.004209889155779648949387897927,0.01790666666323423321581921203
fill,pooled,pooled,60000,fill_pooled_pooled_60000_6,1,1776176261720,1776176261720,0,-16.07416503183875404142080923,-16.07416503183875404142080923,-16.07416503183875404142080923,-16.07416503183875404142080923,2026-04-14 12:00:2026-04-14 14:00:fill-000014:1007,2026-04-14 12:00:2026-04-14 14:00:fill-000014:1007,US cash open,13:30,2861720,2861720,False,0.008650614220707995770271962912,0.005133846650186425419625850141,0.02183669860733543353348375934
fill,pooled,pooled,60000,fill_pooled_pooled_60000_7,1,1776176791765,1776176791765,0,-14.53296436338778989217795562,-14.53296436338778989217795562,-14.53296436338778989217795562,-14.53296436338778989217795562,2026-04-14 12:00:2026-04-14 14:00:fill-000023:1052,2026-04-14 12:00:2026-04-14 14:00:fill-000023:1052,US cash open,13:30,3391765,3391765,False,0.007821188095428164127493579462,0.004641610327284435129425751163,0.01974298273321529707085101896
fill,pooled,pooled,60000,fill_pooled_pooled_60000_8,1,1776177162898,1776177162898,0,-21.59841274089354933674934485,-21.59841274089354933674934485,-21.59841274089354933674934485,-21.59841274089354933674934485,2026-04-14 12:00:2026-04-14 14:00:fill-000027:1072,2026-04-14 12:00:2026-04-14 14:00:fill-000027:1072,US cash open,13:30,3762898,3762898,False,0.01162359202055060470287345700,0.006898208316236009865547096178,0.02934137035955107954437552974
fill,pooled,pooled,60000,fill_pooled_pooled_60000_9,1,1776177600245,1776177600245,0,-17.58817173242033065365084502,-17.58817173242033065365084502,-17.58817173242033065365084502,-17.58817173242033065365084502,2026-04-14 12:00:2026-04-14 14:00:fill-000040:1137,2026-04-14 12:00:2026-04-14 14:00:fill-000040:1137,US cash open,13:30,4200245,4200245,False,0.009465405400738575478508072852,0.005617397628588405790553904480,0.02389347156845665757761035322
fill,pooled,pooled,60000,fill_pooled_pooled_60000_10,1,1776178434738,1776178434738,0,-13.17690106149329204686365728,-13.17690106149329204686365728,-13.17690106149329204686365728,-13.17690106149329204686365728,2026-04-14 12:00:2026-04-14 14:00:fill-000052:1197,2026-04-14 12:00:2026-04-14 14:00:fill-000052:1197,US cash open,13:30,5034738,5034738,False,0.007091397125862208577034996518,0.004208504095882539708339661008,0.01790077534282925321296275982
