source,scope,scope_value,cluster_gap_ms,cluster_count,tail_rows,largest_cluster_rows,worst_cluster_id,worst_cluster_metric_sum,worst_cluster_share_of_total_metric_sum,worst_cluster_share_of_negative_metric_sum,worst_cluster_share_of_tail_metric_sum
fill,pooled,pooled,60000,38,46,3,fill_pooled_pooled_60000_19,-45.70660182581364862320782243,0.02459786738231541999768931520,0.01459800146446648879180549891,0.06209226335917540870820016879
fill,window,2026-04-13 12:00,60000,8,8,1,fill_window_2026_04_13_12_00_60000_2,-15.37399469348315925761744351,0.06370408611072273879195749502,0.03328586131994989082147317326,0.1512231685931352770510740806
fill,window,2026-04-14 12:00,60000,8,8,1,fill_window_2026_04_14_12_00_60000_3,-21.59841274089354933674934485,0.07533007223439164559293158550,0.04232321282436396435185283848,0.1714842626012522807253506460
fill,window,2026-04-15 12:00,60000,5,8,2,fill_window_2026_04_15_12_00_60000_1,-35.71001509184497450734672794,0.1266130628515523297157273214,0.07784833811184075718448202657,0.3144139563377288605459006516
fill,window,2026-04-16 12:00,60000,6,8,3,fill_window_2026_04_16_12_00_60000_3,-45.70660182581364862320782243,0.1266977841593245879605955169,0.07726921398926221511267920024,0.3118475266508534747578708277
fill,window,2026-04-16 17:00,60000,6,7,2,fill_window_2026_04_16_17_00_60000_6,-25.16395464384799599579137365,0.06281161434450877634549786413,0.04977124509684533994852800487,0.2582574814776232455524433038
fill,window,2026-04-17 12:00,60000,7,8,2,fill_window_2026_04_17_12_00_60000_7,-34.20264888562426599141481977,0.1193051048508227238561220437,0.05672170793010728146003551779,0.2248401452444006456618987244
fill,pooled,pooled,120000,37,46,3,fill_pooled_pooled_120000_19,-45.70660182581364862320782243,0.02459786738231541999768931520,0.01459800146446648879180549891,0.06209226335917540870820016879
fill,window,2026-04-13 12:00,120000,6,8,2,fill_window_2026_04_13_12_00_120000_3,-25.41068581476192969711611411,0.1052923816841362934621733609,0.05501605672034701378179886054,0.2499470372955052066899018249
fill,window,2026-04-14 12:00,120000,8,8,1,fill_window_2026_04_14_12_00_120000_3,-21.59841274089354933674934485,0.07533007223439164559293158550,0.04232321282436396435185283848,0.1714842626012522807253506460
fill,window,2026-04-15 12:00,120000,5,8,2,fill_window_2026_04_15_12_00_120000_1,-35.71001509184497450734672794,0.1266130628515523297157273214,0.07784833811184075718448202657,0.3144139563377288605459006516
fill,window,2026-04-16 12:00,120000,6,8,3,fill_window_2026_04_16_12_00_120000_3,-45.70660182581364862320782243,0.1266977841593245879605955169,0.07726921398926221511267920024,0.3118475266508534747578708277
fill,window,2026-04-16 17:00,120000,6,7,2,fill_window_2026_04_16_17_00_120000_6,-25.16395464384799599579137365,0.06281161434450877634549786413,0.04977124509684533994852800487,0.2582574814776232455524433038
fill,window,2026-04-17 12:00,120000,6,8,2,fill_window_2026_04_17_12_00_120000_4,-39.94641764443696171188553993,0.1393404224749220361455102432,0.06624717992044731011700920752,0.2625983260888234555947709166
fill,pooled,pooled,300000,33,46,4,fill_pooled_pooled_300000_18,-63.12890627399584251460231653,0.03397400818455456689117806300,0.02016242357613847599116670818,0.08576040478528556178236717643
fill,window,2026-04-13 12:00,300000,6,8,2,fill_window_2026_04_13_12_00_300000_3,-25.41068581476192969711611411,0.1052923816841362934621733609,0.05501605672034701378179886054,0.2499470372955052066899018249
fill,window,2026-04-14 12:00,300000,8,8,1,fill_window_2026_04_14_12_00_300000_3,-21.59841274089354933674934485,0.07533007223439164559293158550,0.04232321282436396435185283848,0.1714842626012522807253506460
fill,window,2026-04-15 12:00,300000,4,8,4,fill_window_2026_04_15_12_00_300000_3,-53.78718010257801216177385310,0.1907072735035247133211318725,0.1172568135840468747265667458,0.4735769518104615353457967277
fill,window,2026-04-16 12:00,300000,5,8,4,fill_window_2026_04_16_12_00_300000_3,-63.12890627399584251460231653,0.1749920628927564120279150510,0.1067224596215456713685075556,0.4307166250675144703689551676
fill,window,2026-04-16 17:00,300000,6,7,2,fill_window_2026_04_16_17_00_300000_6,-25.16395464384799599579137365,0.06281161434450877634549786413,0.04977124509684533994852800487,0.2582574814776232455524433038
fill,window,2026-04-17 12:00,300000,4,8,3,fill_window_2026_04_17_12_00_300000_4,-53.36948771828743627395759091,0.1861625498468687756168387442,0.08850801307405507092945279724,0.3508384222030991119548218945
matched_lot,pooled,pooled,60000,17,35,6,matched_lot_pooled_pooled_60000_5,-3760.260432000000000000000000,0.1923932513159904658706546149,0.05367593768440678378331636556,0.1725587286429641183845899398
matched_lot,window,2026-04-13 12:00,60000,4,6,3,matched_lot_window_2026_04_13_12_00_60000_3,-1735.150198000000000000000000,0.1217902613702096528828301867,0.1006778991968556889259243024,0.4688362227313438335947737713
matched_lot,window,2026-04-14 12:00,60000,4,5,2,matched_lot_window_2026_04_14_12_00_60000_4,-1478.005196000000000000000000,0.1822560118177756433999518304,0.09219097138642827324627216202,0.3937221831294052725592301329
matched_lot,window,2026-04-15 12:00,60000,4,6,2,matched_lot_window_2026_04_15_12_00_60000_3,-596.0533220000000000000000001,0.5455431839647013734854735223,0.06989214082618691065555716997,0.3381681569400774460391389883
matched_lot,window,2026-04-16 12:00,60000,4,7,4,matched_lot_window_2026_04_16_12_00_60000_3,-1343.300154000000000000000000,-0.3904839415620933272129209635,0.1537327812392327554536030110,0.5741919457687383177139848334
matched_lot,window,2026-04-16 17:00,60000,5,6,2,matched_lot_window_2026_04_16_17_00_60000_2,-959.3963099999999999999999998,-0.5547606159877406429721316822,0.1637616226264497299197906006,0.5254821055598823373013398878
