strategy,window,test_month,train_end,best_params,train_sharpe,test_sharpe,test_return_pct,test_max_dd,test_trades
Momentum,1,Apr,2024-03-31,"{'lookback': 24, 'threshold': 0.03}",0.9134584061703882,-0.2601581997304517,-2.477850494999977,0.09341161246818097,11
Momentum,2,May,2024-04-30,"{'lookback': 24, 'threshold': 0.03}",0.6065366263297929,0.320802594827508,2.8336894300000424,0.07288233880610637,13
Momentum,3,Jun,2024-05-31,"{'lookback': 24, 'threshold': 0.03}",0.5492714891337896,-0.9306946744876026,-4.583002284999995,0.060290304516409696,8
Momentum,4,Jul,2024-06-30,"{'lookback': 24, 'threshold': 0.03}",0.3972786150669152,0.8726776675386744,7.959064859999998,0.03245338329644781,9
Momentum,5,Aug,2024-07-31,"{'lookback': 24, 'threshold': 0.03}",0.45878220501841066,-0.6236164624820023,-5.475284745000012,0.09075430113229871,17
Momentum,6,Sep,2024-08-31,"{'lookback': 24, 'threshold': 0.03}",0.33643296367763165,0.5952909624879262,4.351087552499987,0.036029108753480456,8
Momentum,7,Oct,2024-09-30,"{'lookback': 24, 'threshold': 0.03}",0.3585249605174494,1.1702945982465691,9.869332237500013,0.03262025950158516,2
Momentum,8,Nov,2024-10-31,"{'lookback': 24, 'threshold': 0.03}",0.40845318085714305,1.13039875180104,16.481642522499985,0.06913537187556429,11
Momentum,9,Dec,2024-11-30,"{'lookback': 48, 'threshold': 0.02}",0.47769897453689136,-0.09200227475382093,-1.8001642200000352,0.08128090560472821,15
MeanReversion,1,Apr,2024-03-31,"{'lookback': 12, 'threshold': 0.03}",1.0632034932290195,0.390956888799222,4.097749207500019,0.07042622588216271,7
MeanReversion,2,May,2024-04-30,"{'lookback': 12, 'threshold': 0.03}",0.8452526948022104,1.405602886689723,2.6352547499999925,0.00919246517370992,2
MeanReversion,3,Jun,2024-05-31,"{'lookback': 12, 'threshold': 0.03}",0.7892318242330689,0.0,0.0,0.0,0
MeanReversion,4,Jul,2024-06-30,"{'lookback': 12, 'threshold': 0.03}",0.7207792579395841,0.2458008108703792,0.7940254200000054,0.015838035775000026,4
MeanReversion,5,Aug,2024-07-31,"{'lookback': 12, 'threshold': 0.03}",0.6721082967185066,0.18455511431387764,1.4424918349999933,0.07872183492490414,9
MeanReversion,6,Sep,2024-08-31,"{'lookback': 12, 'threshold': 0.03}",0.5136663111410247,1.1556449665914725,7.3792428300000035,0.028105679823898885,3
MeanReversion,7,Oct,2024-09-30,"{'lookback': 12, 'threshold': 0.03}",0.4801234522161838,1.0837523143868522,5.6632827450000045,0.02210103622995909,1
MeanReversion,8,Nov,2024-10-31,"{'lookback': 12, 'threshold': 0.03}",0.5150192236443382,0.0,0.0,0.0,0
MeanReversion,9,Dec,2024-11-30,"{'lookback': 12, 'threshold': 0.03}",0.49220684407686616,0.12708744187821497,1.4351313325000083,0.13939373324650112,3
SMA,1,Apr,2024-03-31,"{'fast_period': 24, 'slow_period': 72}",0.8705414260974962,-0.6814796424105549,-2.498679027500024,0.04349398601312872,8
SMA,2,May,2024-04-30,"{'fast_period': 24, 'slow_period': 96}",0.572934981790067,0.09866592391629131,0.3542380525000044,0.026834676074845673,6
